x, y, z
-4147909.8393729595, 2866508.1441179644, -3893905.8891932894
-4147908.958498963, 2866508.627018815, -3893905.5392229455
-4147908.6497672996, 2866509.507553419, -3893904.2931084605
-4147909.8863843037, 2866508.176606231, -3893904.4957621815
-4147910.487947869, 2866507.5006813756, -3893904.5817591483
-4147911.012621816, 2866506.7693785983, -3893904.5940978434
-4147910.8030090407, 2866506.624520997, -3893905.8338560984
-4147910.838885531, 2866505.5576655497, -3893906.8201433085
-4147911.3363995533, 2866504.8098350633, -3893906.8078046073
-4147912.2042174563, 2866504.317911077, -3893907.1454363307
-4147911.846628492, 2866504.0707915, -3893908.242397969
-4147911.3707601083, 2866503.741932375, -3893909.23052148
-4147911.8305510636, 2866502.965791117, -3893909.181540554
-4147912.9041522653, 2866503.7077261326, -3893907.323412743
-4147912.2996938922, 2866503.2900022776, -3893908.1870607524
-4147911.798037332, 2866505.128859943, -3893905.809178702
-4147912.567025277, 2866503.474747334, -3893905.5698827403
-4147912.2373945476, 2866504.3408388225, -3893905.7418767125
-4147911.9360422096, 2866505.2242312306, -3893904.501744579
-4147911.685737253, 2866506.1429011687, -3893903.3128036116
-4147910.722101366, 2866507.662498454, -3893903.3681407776
-4147911.266160917, 2866506.9445924703, -3893903.3988005584
-4147910.2902042894, 2866508.455675286, -3893902.0075798566
-4147910.8913723063, 2866507.7794769714, -3893902.093202884
-4147910.1597045227, 2866508.3654904314, -3893903.3191599078
-4147912.192871182, 2866506.4933672906, -3893902.3571760603
-4147912.3264672854, 2866505.4940430145, -3893903.4358166354
-4147912.6349288137, 2866504.615563463, -3893904.6797209103
-4147912.8694780637, 2866504.777653788, -3893903.466476416
-4147913.2200745186, 2866502.8344026953, -3893907.139453931
-4147913.2465260085, 2866502.852682555, -3893905.729538015
-4147913.5108606573, 2866504.1270049107, -3893903.5891155405
-4147912.862485467, 2866502.5872832467, -3893908.2364155673
-4147912.3086790517, 2866502.2045636536, -3893909.1508807377
-4147913.009080436, 2866501.596942863, -3893907.892427465
-4147913.522545373, 2866501.951783492, -3893906.9427825166
-4147914.174410759, 2866502.4022686314, -3893904.6860772073
-4147913.7895363183, 2866502.1362931407, -3893905.76019781
-4147913.473935684, 2866505.1953772823, -3893902.602828152
-4147914.6519990037, 2866503.823964284, -3893902.750144627
-4147914.7464275877, 2866502.797572764, -3893903.791769215
-4147914.2145514674, 2866504.6133054583, -3893901.381390971
-4147913.683547908, 2866505.340234337, -3893901.363069891
-4147913.1144258254, 2866506.03857899, -3893901.3077327507
-4147915.190193422, 2866503.104246378, -3893901.338392518
-4147914.9220287255, 2866502.9189255843, -3893902.5228136196
-4147914.802737359, 2866501.7425970985, -3893904.796377665
-4147915.3165975013, 2866502.097710707, -3893903.847106381
-4147913.9368391996, 2866501.144200386, -3893906.8508031107
-4147913.5143677527, 2866500.852242813, -3893907.886445063
-4147913.3826920935, 2866500.7612456437, -3893909.199861664
-4147912.7088689753, 2866501.3894754862, -3893909.0465625827
-4147915.1104188925, 2866500.863578803, -3893906.042492265
-4147914.739774302, 2866500.6074373415, -3893907.1271152296
-4147915.710061689, 2866501.277974119, -3893903.7364320494
-4147915.3330875062, 2866501.0174584645, -3893904.8150726575
-4147915.9874518206, 2866502.5613183673, -3893901.6083480264
-4147916.712449359, 2866501.9706944483, -3893901.811001608
-4147915.46984331, 2866503.2975042523, -3893900.167772571
-4147914.9853851767, 2866504.054357824, -3893900.192449939
-4147916.449089039, 2866502.880342251, -3893900.6097217933
-4147917.41840036, 2866501.3669079263, -3893900.560740957
-4147917.089423016, 2866502.23120974, -3893900.732360833
-4147917.041031056, 2866501.1061193147, -3893901.6390077937
-4147915.992806689, 2866500.381722882, -3893904.9560329025
